ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Xylocopa aeratus,Metallic Green Carpenter Bee,No,15160,,Xylocopa (Lestis) aeratus,Metallic Green Carpenter Bee,Base,535,Invert,Inverts,"Ants, Bees",no search,0.1,3,,,,,NONE,,not tested,,,0,1,RX,Unknown,Minor in Vic,Both,down,Modest,Both,,4,4,4,8.0,100,Habitat,Generic,No guild,,,Flight,Other,Annual,brief,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,Low,Multiple,Uncertain,Uncertain,Low,Low,,,,,,,,,,,,,,,,,,RX,,Listed,,,,
Acrobates frontalis,Broad-toed Feathertail Glider,No,903792,,Acrobates frontalis,Broad-toed Feather-tailed Glider,Other,536,Mammal,Mammals,Possums,no search,0.1,3,,,,,NONE,,not tested,,,0,1,NONE,Unknown,Widespread,Both,unsure,Modest,Both,,5,4,4,8.0,5000,Habitat,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,,,,,,,,,,,,,,,,,,,,,,,,Acrobates pygmaeus,,,Feathertail Glider,,,,,,,,,,,,,,,,,,,
Acrobates pygmaeus,Narrow-toed Feathertail Glider,ALA,11147,urn:lsid:biodiversity.org.au:afd.taxon:14431212-d788-4768-a785-bb7008ddb7a5,Acrobates pygmaeus,Narrow-toed Feather-tailed Glider,Base,537,Mammal,Mammals,Possums,4608,0.1,3,336,7.3%,3041,66.0%,133,4.37%,5,24,36,0,1,OKAY,"> 10,000",Widespread,Recent,rapid,Very Low,Both,,5,1,1,2.0,8976,Habitat,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,Yes,No,RAPDs,No,Yes,Biology,1,,,,,,,Possible,Redundant,Medium,Habitat loss,Yes,Uncertain,Not Expected,Low,,"Didelphis pygmaea, Dromicia frontalis",,,Feathertail Glider,,,,,,,,,,,,,,,,,,,
Antechinus agilis,Agile Antechinus,ALA,11028,urn:lsid:biodiversity.org.au:afd.taxon:b9bf9dd5-defa-4ddb-b23f-777533f48ec4,Antechinus agilis,Agile Antechinus,Base,538,Mammal,Mammals,Dasyurids,21160,0.1,3,17078,80.7%,9940,47.0%,8188,82.37%,5,12,18,0,1,OKAY,"> 10,000",Most in Vic,Recent,unsure,Modest,Both,,5,4,4,8.0,243174,Habitat,Generic,No guild,,,Land,Sexual,Annual,brief,,K,Yes,Yes,No,None,No,Yes,Useful,38,Little,Low,High,Normal,,Reasonable,Unknown,Redundant,Not likely,Invasives,Uncertain,No,Not Expected,Medium,**,Antechinus stuartii,,,Brown Antechinus,,,,,,,,,,,,,,,,,,,
Antechinus flavipes,Yellow-footed Antechinus,ALA,11027,urn:lsid:biodiversity.org.au:afd.taxon:a581c303-95b9-4e2f-8fdc-103e394dd85f,Antechinus flavipes,Yellow-footed Antechinus,Base,539,Mammal,Mammals,Dasyurids,11720,0.1,3,2611,22.3%,4940,42.2%,1172,23.73%,6,32,42,3,4,OKAY,"> 10,000",Widespread,Both,okay,Medium,Both,,5,10,10,20.0,45663,Habitat,Generic,No guild,,,Veg cover,Sexual,Annual,brief,,K,Yes,Yes,No,None,No,Yes,Useful,17,Moderate,Some pops,Varies,Varies,,Reasonable,Unknown,Uncertain,Uncertain,Habitat loss,Uncertain,Uncertain,Not Expected,Medium,**,,flavipes,,,,,,,,,,,,,,,,,,,,,
Antechinus minimus,Swamp Antechinus,ALA,11034,urn:lsid:biodiversity.org.au:afd.taxon:0515b6b1-d49c-4c55-9ac1-5ba7aad03366,Antechinus minimus maritimus,Swamp Antechinus,Base,540,Mammal,Mammals,Dasyurids,1986,0.1,3,949,47.8%,595,30.0%,310,52.10%,4,15,10,2,3,NT,"> 10,000",Vic + 1 state,Both,down,Modest,Both,,5,4,4,8.0,14323,Habitat,Limited,No guild,,,Veg cover,Sexual,Annual,brief,,K,No,Yes,No,None,No,Yes,Biology,6,,,,,,,Possible,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Primary,*,,maritimus,,,,,,,,,,,,,,,NT,VU,Listed,,,,
Antechinus swainsonii,Dusky Antechinus,ALA,11033,urn:lsid:biodiversity.org.au:afd.taxon:fa176daf-6dc7-4a15-ac1b-c50cd2e51839,Antechinus mimetes,Mainland Dusky Antechinus,Base,541,Mammal,Mammals,Dasyurids,586,0.1,3,148,25.3%,181,30.9%,46,25.41%,6,18,19,0,1,OKAY,"> 10,000",Widespread,Both,unsure,Modest,Both,,5,4,4,8.0,2510,Habitat,Generic,No guild,,,Veg cover,Sexual,Annual,brief,,K,Yes,No,No,Other,No,Yes,Phylogeny,3,,,,,,,Possible,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Primary,**,,"mimetes, insulanus (Grampians)",,,,,,,,,,,,,,,,,,,,,
Austronomus australis,White-striped Freetail Bat,ALA,11324,urn:lsid:biodiversity.org.au:afd.taxon:56720da5-179b-47fa-bf5c-30d87d8384ed,Austronomus australis,White-striped Freetail Bat,Base,542,Mammal,Mammals,Microbats,15331,0.1,3,3865,25.2%,10959,71.5%,2682,24.47%,8,63,51,0,1,OKAY,"> 10,000",Widespread,None,down,Extensive,Both,,6,100,100,200.0,65576,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Low,,Tadarida australis,,,,,,,,,,,,,,,,,,,,,,
Burramys parvus,Mountain Pygmy Possum,ALA,11156,urn:lsid:biodiversity.org.au:afd.taxon:3f17cf84-982a-48f2-9500-e44dcd30710a,Burramys parvus,Mountain Pygmy-possum,Base,543,Mammal,Mammals,Possums,1714,0.1,3,531,31.0%,330,19.3%,123,37.27%,2,3,7,0,1,CR,500 to 2K,Vic + 1 state,Historical,rapid,Modest,Both,,5,4,4,8.0,8617,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,Yes,Genomic,No,Yes,Useful,10,High,Some pops,Varies,Varies,,Extensive,Possible,Medium,Not likely,Multiple,Uncertain,Yes,Not Expected,Low,***,,,,,,,,,,,,,,,,,CR,EN,Listed,,,,
Canis lupus dingo,Dingo,Vic,61835,,Canis lupus dingo,Dingo,Other,544,Mammal,Mammals,Dog,no search,0.1,3,,,,,NONE,,not tested,,,0,1,DD,"> 10,000",Minor in Vic,None,down,Extensive,Both,,6,100,100,200.0,9000,Distance,Generic,No guild,,,Land,Sexual,6 - 10 yr,mid,,K,Yes,No,Yes,Genomic,No,Yes,Useful,612,Moderate,Some pops,Varies,Data def,,Reasonable,Unknown,Low,Not likely,Hybridization,No,Yes,Not Expected,Low,,,dingo,,,,,,,,,,,,,,,DD,,Listed,,,,
Cercartetus concinnus,Western Pygmy-possum,ALA,11151,urn:lsid:biodiversity.org.au:afd.taxon:20cf2b3c-3f38-4110-8c9f-32da03484256,Cercartetus concinnus,Western Pygmy-possum,Base,545,Mammal,Mammals,Possums,4289,0.1,3,302,7.0%,1425,33.2%,163,11.44%,4,21,20,1,2,NT,"> 10,000",Minor in Vic,Recent,down,Minimal,Both,,5,0.4,0.4,0.8,8215,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,Uncertain,Habitat loss,No,Uncertain,Not Expected,Primary,,,,,,,,,,,,,,,,,,NT,,,,,,
Cercartetus lepidus,Little Pygmy-possum,ALA,11152,urn:lsid:biodiversity.org.au:afd.taxon:f03b65e8-28c8-4c89-9ce6-0dd7b545f78f,Cercartetus lepidus,Little Pygmy-possum,Base,546,Mammal,Mammals,Possums,854,0.1,3,278,32.6%,375,43.9%,143,38.13%,3,12,8,0,1,NT,"> 10,000",Widespread,Both,down,Modest,Both,,5,4,4,8.0,4468,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,Uncertain,Fire,Uncertain,Uncertain,Low,Primary,,,,,,,,,,,,,,,,,,NT,,Rejected,,,,
Cercartetus nanus,Eastern Pygmy-possum,ALA,11150,urn:lsid:biodiversity.org.au:afd.taxon:1cb198f0-1ec4-450c-9af3-6fa4066099cb,Cercartetus nanus,Eastern Pygmy-possum,Base,547,Mammal,Mammals,Possums,4134,0.1,3,1138,27.5%,2745,66.4%,819,29.84%,6,24,26,2,3,DD,"> 10,000",Widespread,Both,rapid,Modest,Both,,5,4,4,8.0,18928,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Primary,*,,,,,,,,,,,,,,,,,NT,,Rejected,,,,
Chalinolobus gouldii,Goulds Wattled Bat,ALA,11349,urn:lsid:biodiversity.org.au:afd.taxon:f2ecb3e3-a6e2-45cc-a986-716a69eec650,Chalinolobus gouldii,Gould's Wattled Bat,Base,548,Mammal,Mammals,Microbats,37406,0.1,3,10229,27.3%,13251,35.4%,1911,14.42%,8,81,54,0,1,OKAY,"> 10,000",Widespread,None,okay,High +,Both,,6,40,40,80.0,170383,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,High,Invasives,Yes,Uncertain,Not Expected,Low,,Scotophilus gouldii,,,,,,,,,,,,,,,,,,,,,,
Chalinolobus morio,Chocolate Wattled Bat,ALA,11351,urn:lsid:biodiversity.org.au:afd.taxon:27654b34-2642-47a3-b70e-9ae7ba37a857,Chalinolobus morio,Chocolate Wattled Bat,Base,549,Mammal,Mammals,Microbats,21162,0.1,3,6773,32.0%,9463,44.7%,2416,25.53%,8,58,52,0,1,OKAY,"> 10,000",Widespread,Recent,okay,High +,Both,,6,40,40,80.0,109211,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Low,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,"Scotophilus microdon, Scotophilus australis, Chalinolobus signifer, Scotophilus morio, Vespertilio muelleri ",,,,,,,,,,,,,,,,,,,,,,
Dasyurus maculatus maculatus,Spot-tailed Quoll,ALA,11008,urn:lsid:biodiversity.org.au:afd.taxon:a4ef7496-ba95-481c-b3a5-a6ed66f37394,Dasyurus maculatus maculatus,Spot-tailed Quoll,Child,550,Mammal,Mammals,Dasyurids,2555,0.1,3,558,21.8%,1678,65.7%,393,23.42%,5,26,22,0,1,EN,"> 10,000",Widespread,Both,down,High +,Both,,6,40,40,80.0,9809,Distance,Limited,No guild,,,Land,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Useful,8,High,Data def,Moderate,Data def,Sample bias,Reasonable,Possible,High,High,Multiple,Yes,Yes,Not Expected,Primary,,,maculatus,,Spotted tail quoll,,,,,,,,,,,,,EN,EN,Listed,,,,
Falsistrellus tasmaniensis,Eastern False Pipistrelle,ALA,11372,urn:lsid:biodiversity.org.au:afd.taxon:284c4a52-3070-4b0f-bea5-6e94ee1fb200,Falsistrellus tasmaniensis,Eastern False Pipistrelle,Base,551,Mammal,Mammals,Microbats,4170,0.1,3,1472,35.3%,2276,54.6%,625,27.46%,6,21,27,0,1,OKAY,"> 10,000",Widespread,Both,rapid,High +,Both,,6,40,40,80.0,23306,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Gymnobelideus leadbeateri,Leadbeaters Possum,ALA,11141,urn:lsid:biodiversity.org.au:afd.taxon:6119c642-08ad-403e-b8c9-215814f63ee3,Gymnobelideus leadbeateri,Leadbeater's Possum,Base,552,Mammal,Mammals,Possums,2081,0.1,3,2060,99.0%,1696,81.5%,1696,100.00%,1,4,5,0,1,EN,500 to 2K,Only in Vic,Recent,rapid,Modest,Both,,5,4,4,8.0,28861,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,Yes,None,No,Yes,Useful,7,High,Some pops,Low,Data def,,Reasonable,Unknown,High,High,Multiple,Yes,Yes,Low,Low,***,,,,Fairy Possum,,,,,,,,,,,,,EN,CR,Listed,,,,
Hydromys chrysogaster,Rakali,ALA,11415,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,Hydromys chrysogaster,Water Rat,Base,553,Mammal,Mammals,Rodents,8146,0.1,3,3114,38.2%,3693,45.3%,1369,37.07%,8,60,52,0,1,OKAY,"> 10,000",Widespread,Both,unsure,Minimal,Both,,5,0.4,0.4,0.8,48628,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Markers,1,,,,,Analysis,Limited,Possible,Redundant,High,Not expected,Yes,Uncertain,Not Expected,Low,,Hydromys fuliginosus,,,,,,,,,,,,,,,,,,,,,,
Isoodon obesulus,Southern Brown Bandicoot,ALA,50119,urn:lsid:biodiversity.org.au:afd.taxon:219c139b-029f-4fbe-aa69-09e420013341,Isoodon obesulus,Southern Brown Bandicoot,Base,554,Mammal,Mammals,Bandicoots,11692,0.1,3,3672,31.4%,6051,51.8%,2008,33.19%,7,28,26,1,2,NT,"> 10,000",Widespread,Recent,rapid,Modest,Both,,5,4,4,8.0,59428,Habitat,Limited,No guild,,,Land,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Useful,23,High,Some pops,Varies,Data def,,Reasonable,Possible,Redundant,High,Multiple,Uncertain,Yes,Not Expected,Low,,,obesulus,,,,,,,,,,,,,,,,,,,,,
Isoodon obesulus obesulus,Southern Brown Bandicoot,ALA,61092,urn:lsid:biodiversity.org.au:afd.taxon:1444c408-56fb-4284-a05e-c961a4c8ba35,Isoodon obesulus obesulus,Southern Brown Bandicoot,Child,555,Mammal,Mammals,Bandicoots,8235,0.1,3,3011,36.6%,4325,52.5%,1658,38.34%,5,15,18,0,1,,,,,,,Both,,5,4,4,8.0,47378,Habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,EN,Listed,,,,
Macropus fuliginosus,Western Grey Kangaroo,ALA,11263,urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921,Macropus fuliginosus,Western Grey Kangaroo,Base,556,Mammal,Mammals,Macropods,38645,0.1,3,2431,6.3%,17156,44.4%,1297,7.56%,5,38,33,2,3,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,70248,Distance,Generic,No guild,,,Land,Sexual,11 - 20 yr,long,,K,Yes,Yes,No,None,No,Yes,Useful,32,Little,Low,High,Data def,,Reasonable,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Macropus giganteus,Eastern Grey Kangaroo,ALA,11265,urn:lsid:biodiversity.org.au:afd.taxon:23f4784e-1116-482c-8e3e-b6b12733f588,Macropus giganteus,Eastern Grey Kangaroo,Base,557,Mammal,Mammals,Macropods,129534,0.1,3,16026,12.4%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,Historical,okay,Extensive,Both,,6,100,100,200.0,337872,Distance,Generic,No guild,,,Land,Sexual,11 - 20 yr,long,,K,Yes,Yes,No,None,No,Yes,Useful,51,Little,Low,High,Data def,,Reasonable,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Mastacomys fuscus mordicus,Broad-toothed Rat,ALA,11438,urn:lsid:biodiversity.org.au:afd.taxon:70e10fcf-b3e9-47d3-b5be-70c323570043,Mastacomys fuscus mordicus,Broad-toothed Rat,Child,558,Mammal,Mammals,Rodents,332,0.1,3,209,63.0%,222,66.9%,156,70.27%,2,5,9,0,1,EN,"> 10,000",Most in Vic,Both,down,Very Low,Both,,6,1,1,2.0,3049,Habitat,Limited,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,Low,Multiple,Uncertain,Uncertain,Not Expected,Primary,,"Pseudomys fuscus, Mastacomys fuscus",mordicus,,,,,,,,,,,,,,,EN,VU,Listed,,,,
Miniopterus orianae,Australasian bent-wing bat,No,61341,,Miniopterus orianae,Common Bent-wing Bat,Base,559,Mammal,Mammals,Microbats,no search,0.1,3,,,,,NONE,,not tested,,,0,1,VU,"> 10,000",Widespread,Recent,down,High +,Both,,6,40,40,80.0,20000,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Limited,0,,,,,,Limited,Unknown,Uncertain,Not likely,Habitat loss,Uncertain,Uncertain,Not Expected,Primary,,Miniopterus schreibersii,oceanensis,,,,,,,,,,,,,,,,,Listed,,,,
Miniopterus orianae bassanii,Southern Bent-wing Bat,ALA,61343,urn:lsid:biodiversity.org.au:afd.taxon:98dbf664-a454-4472-81bf-325fa41a1876,Miniopterus orianae bassanii,Common Bent-wing Bat (southern ssp.),Child,560,Mammal,Mammals,Microbats,409,0.1,3,10,2.4%,77,18.8%,1,1.30%,2,3,2,0,1,CR,"> 10,000",Vic + 1 state,Recent,rapid,High +,Both,,6,40,40,80.0,539,Distance,Limited,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Limited,1,,,,,,Limited,Unknown,Uncertain,Not likely,Habitat loss,No,Uncertain,Not Expected,Secondary,,Miniopterus schreibersii,bassanii,,"Common Bent-wing Bat (southern ssp.), Southern Bent-wing Bat",,,,,,,,,,,,,CR,CR,Listed,,,,
Miniopterus orianae oceanensis,Eastern Bent-wing Bat,ALA,61342,urn:lsid:biodiversity.org.au:afd.taxon:57842363-1c36-40d7-b3f6-a3baeb2fa50f,Miniopterus orianae oceanensis,Common Bent-wing Bat (eastern ssp.),Child,561,Mammal,Mammals,Microbats,8563,0.1,3,2029,23.7%,4561,53.3%,36,0.79%,5,21,24,0,1,,,,,,,Both,,6,40,40,80.0,34940,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miniopterus schreibersii oceanensis,,,"Common Bent-wing Bat (eastern ssp.), Eastern Bent-wing Bat",,,,,,,,,,,,,VU,,Listed,,,,
Myotis macropus,Southern Myotis,ALA,11357,urn:lsid:biodiversity.org.au:afd.taxon:df284cb2-df21-4864-b5fb-1a3644781791,Myotis macropus,Southern Myotis,Base,562,Mammal,Mammals,Microbats,6036,0.1,3,794,13.2%,2303,38.2%,140,6.08%,7,36,34,0,1,NT,"> 10,000",Widespread,None,down,Medium,Both,,6,10,10,20.0,16358,Distance,Species,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Useful,1,High,Moderate,High,Moderate,,Extensive,Unknown,Medium,Uncertain,Habitat loss,Uncertain,Yes,Not Expected,Secondary,***,,,Large footed myotis,,,,,,,,,,,,,,NT,,,,,,
Ningaui yvonneae,Mallee Ningaui,ALA,11055,urn:lsid:biodiversity.org.au:afd.taxon:d0f63c0e-2d3a-4b7d-9e1e-97c99b60c38d,Ningaui yvonneae,Mallee Ningaui,Base,563,Mammal,Mammals,Dasyurids,3122,0.1,3,333,10.7%,848,27.2%,138,16.27%,4,12,12,0,1,NT,"> 10,000",Widespread,Historical,okay,Very Low,Both,,5,1,1,2.0,7451,Habitat,Species,No guild,,,Land,Sexual,Annual,brief,,r,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,High,Fire,No,Uncertain,Not Expected,Low,,,,,Southern Ningaui,,,,,,,,,,,,,NT,,,,,,
Notamacropus rufogriseus,Red-necked Wallaby,ALA,11261,urn:lsid:biodiversity.org.au:afd.taxon:8b1d5f58-b9b8-483b-bf8f-e1e617e09d82,Notamacropus rufogriseus banksianus,Red-necked Wallaby,Base,564,Mammal,Mammals,Macropods,59887,0.1,3,4894,8.2%,14999,25.0%,1582,10.55%,7,33,35,2,3,OKAY,"> 10,000",Widespread,Both,down,Medium,Both,,6,10,10,20.0,123509,Distance,Generic,No guild,,,Land,Sexual,6 - 10 yr,mid,,K,Yes,Yes,No,None,No,Yes,Markers,21,,,,,,,Possible,Medium,High,Not expected,Yes,Uncertain,Not Expected,Low,,"Wallabia rufogriseus, Macropus rufogriseus",banksianus,,,,,,,,,,,,,,,,,,,,,
Notomys mitchellii,Mitchells Hopping-mouse,ALA,11480,urn:lsid:biodiversity.org.au:afd.taxon:e570a40a-15fb-40d4-9429-c2a9417249b3,Notomys mitchellii,Mitchell's Hopping-mouse,Base,565,Mammal,Mammals,Rodents,4073,0.1,3,410,10.1%,745,18.3%,150,20.13%,5,21,16,0,1,NT,"> 10,000",Minor in Vic,Historical,varies,Medium,Both,,5,10,10,20.0,9403,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Fire,Uncertain,Uncertain,Low,Medium,,,,,,,,,,,,,,,,,,NT,,,,,,
Nyctophilus corbeni,Southeastern Long-eared Bat,ALA,61332,urn:lsid:biodiversity.org.au:afd.taxon:23686af5-4d75-40f9-b29a-4d6d316b47fd,Nyctophilus corbeni,South-eastern Long-eared Bat,Base,566,Mammal,Mammals,Microbats,786,0.1,3,62,7.9%,485,61.7%,54,11.13%,4,15,20,0,1,EN,2K to 10K,Minor in Vic,Recent,rapid,Medium,Both,,6,10,10,20.0,1592,Distance,Species,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Habitat loss,No,Uncertain,Not Expected,Secondary,,"Nyctophilus timoriensis (eastern form), Nyctophilus corbeni",,,"Greater Long-eared Bat, South-eastern Long-eared Bat",,,,,,,,,,,,,EN,VU,Listed,,,,
Nyctophilus geoffroyi,Lesser Long-eared Bat,ALA,11335,urn:lsid:biodiversity.org.au:afd.taxon:054b8aa4-fd1e-42ec-b103-094624ff5c1b,Nyctophilus geoffroyi,Lesser Long-eared Bat,Base,567,Mammal,Mammals,Microbats,22361,0.1,3,8996,40.2%,9203,41.2%,2862,31.10%,8,81,53,3,4,OKAY,"> 10,000",Widespread,None,okay,Extensive,Both,,6,100,100,200.0,139309,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Markers,5,Little,Low,High,Normal,,,Unknown,Redundant,High,Invasives,Yes,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Ornithorhynchus anatinus,Platypus,ALA,5136,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,Ornithorhynchus anatinus,Platypus,Base,568,Mammal,Mammals,Monotremes,14141,0.1,3,4587,32.4%,9903,70.0%,3299,33.31%,6,33,41,0,1,OKAY,"> 10,000",Widespread,Both,down,Medium,Both,,6,10,10,20.0,73772,Habitat,Species,No guild,,,Water,Sexual,11 - 20 yr,long,,K,Yes,Yes,Yes,Genomic,No,Yes,Useful,69,Moderate,Some pops,Varies,Varies,,Extensive,Possible,Medium,Medium,Multiple,Uncertain,Yes,Low,Secondary,**,,,,,,,,,,,,,,,,,,,Nominated,,,,
Osphranter robustus robustus,Eastern Wallaroo,ALA,61266,urn:lsid:biodiversity.org.au:afd.taxon:ac230727-2d19-4526-be5e-c48f5c208fce,Osphranter robustus robustus,Eastern Wallaroo,Child,569,Mammal,Mammals,Macropods,27104,0.1,3,242,0.9%,12177,44.9%,22,0.18%,7,58,41,0,1,CR,"> 10,000",Minor in Vic,Historical,unsure,Medium,Both,,6,10,10,20.0,30250,Distance,Limited,No guild,,,Land,Sexual,6 - 10 yr,mid,,K,Yes,Yes,No,Genomic,No,Yes,Limited,32,Moderate,Data def,High,Normal,Sample bias,Limited,Possible,Uncertain,High,Habitat loss,Yes,Yes,Low,Medium,,"Macropus robustus robustus, Macropus robustus, Osphranter robustus",robustus,,Common Wallaroo,,,,,,,,,,,,,EN,,Listed,,,,
Osphranter rufus,Red Kangaroo,ALA,11275,urn:lsid:biodiversity.org.au:afd.taxon:e6aff6af-ff36-4ad5-95f2-2dfdcca8caff,Osphranter rufus,Red Kangaroo,Base,570,Mammal,Mammals,Macropods,60973,0.1,3,448,0.7%,23554,38.6%,252,1.07%,7,54,34,0,1,OKAY,"> 10,000",Minor in Vic,None,okay,High +,Both,,6,40,40,80.0,66797,Distance,Generic,No guild,,,Land,Sexual,11 - 20 yr,long,,K,Yes,No,No,None,No,Yes,Useful,23,Little,Low,High,Normal,Markers,Reasonable,Possible,Redundant,High,Not expected,Uncertain,Yes,Not Expected,Low,,Macropus rufus,,,,,,,,,,,,,,,,,,,,,,
Ozimops petersi,Inland Freetail Bat,ALA,11809,urn:lsid:biodiversity.org.au:afd.taxon:45c96acb-e9fd-46d2-aae5-c7addc75cb5d,Ozimops petersi,Inland Freetail Bat,Base,571,Mammal,Mammals,Microbats,2020,0.1,3,74,3.7%,893,44.2%,22,2.46%,6,30,25,0,1,OKAY,"> 10,000",Widespread,None,down,High +,Both,,6,40,40,80.0,2982,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,Allozyme,Yes,Yes,Phylogeny,1,,,,,,,Unknown,Uncertain,Not likely,Habitat loss,Uncertain,Uncertain,Low,Medium,,Mormopterus sp. 3,,Mormopterus sp. 3,,,,,,,,,,,,,,,,,,,,
Ozimops planiceps,South-eastern Freetail Bat,ALA,11808,urn:lsid:biodiversity.org.au:afd.taxon:c00e19a9-8db5-4a52-b68f-a9499b5c7799,Ozimops planiceps,Southern Freetail Bat,Base,572,Mammal,Mammals,Microbats,5193,0.1,3,1596,30.7%,2048,39.4%,425,20.75%,6,28,32,0,1,OKAY,"> 10,000",Widespread,None,down,High +,Both,,6,40,40,80.0,25941,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,Allozyme,Yes,Yes,Phylogeny,1,,,,,,,Unknown,Uncertain,Not likely,Habitat loss,Uncertain,Uncertain,Low,Medium,,Mormopterus sp. 4,,"Mormopterus sp. 4, Southern Freetail Bat",,,,,,,,,,,,,,,,,,,,
