ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Litoria aurea,Green and Golden Bell Frog,ALA,13166,urn:lsid:biodiversity.org.au:afd.taxon:392d40f7-5859-4aea-9c06-3f6aa8955ab4,Litoria aurea,Green and Golden Bell Frog,Base,15,Herps,Anurans,Tree frogs,32584,0.1,3,614,1.9%,5229,16.0%,247,4.72%,5,10,15,0,1,VU,2K to 10K,Vic + 1 state,Both,rapid,Medium,Both,,5,10,10,20.0,40566,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,Yes,No,None,No,Yes,Markers,9,Moderate,Low,Varies,Data def,,Extensive,Possible,Medium,High,Fire,Uncertain,Yes,Not Expected,Medium,,,,,,,,,,,,,,,,,,VU,VU,Rejected,,,,
Litoria booroolongensis,Booroolong Tree Frog,ALA,13168,urn:lsid:biodiversity.org.au:afd.taxon:740ba8d6-c86d-4af3-b44f-d69a2d686329,Litoria booroolongensis,Booroolong Tree Frog,Base,16,Herps,Anurans,Tree frogs,3584,0.1,3,28,0.8%,2121,59.2%,1,0.05%,4,10,12,0,1,CR,2K to 10K,Minor in Vic,Both,rapid,Very Low,Both,,5,1,1,2.0,3948,Habitat,Species,No guild,,,Water,Sexual,Annual,brief,,r,No,No,No,Allozyme,Yes,Yes,Phylogeny,2,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Secondary,,,,,,,,,,,,,,,,,,CR,EN,Listed,,,,
Litoria citropa,Blue Mountains Tree Frog,ALA,13175,urn:lsid:biodiversity.org.au:afd.taxon:2c9aebe9-d647-40dd-ac69-c451c0ab5917,Litoria citropa,Blue Mountains Tree Frog,Base,17,Herps,Anurans,Tree frogs,1655,0.1,3,293,17.7%,1001,60.5%,177,17.68%,3,6,8,0,1,OKAY,"> 10,000",Minor in Vic,Recent,rapid,Modest,Both,,5,4,4,8.0,5464,Habitat,Generic,No guild,,,Water,Sexual,2 - 5 yr,short,,r,No,No,No,Allozyme,Yes,Yes,Hybrids,2,,,,,,,Unknown,Uncertain,Uncertain,Fire,No,Uncertain,Not Expected,Secondary,,Ranoidea citropa,,,,,,,,,,,,,,,,,,,,,,
Litoria dentata,Keferstein's Tree Frog,ALA,528551,urn:lsid:biodiversity.org.au:afd.taxon:e098ff60-e0cc-4340-8852-dba186a06855,Litoria dentata,Keferstein's Tree Frog,Base,18,Herps,Anurans,Tree frogs,6786,0.1,3,13,0.2%,5012,73.9%,4,0.08%,4,12,17,0,1,VU,"> 10,000",None in Vic,Both,unsure,Modest,Both,,5,4,4,8.0,6955,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Uncertain,Habitat loss,Uncertain,Uncertain,Not Expected,Secondary,,,,Bleating Tree Frog,,,,,,,,,,,,,,VU,,,,,,
Litoria ewingii,Southern Brown Tree Frog,ALA,13182,urn:lsid:biodiversity.org.au:afd.taxon:6bbc9cb6-b874-49de-abe6-db337aa401da,Litoria ewingii,Southern Brown Tree Frog,Base,19,Herps,Anurans,Tree frogs,29714,0.1,3,19982,67.2%,13444,45.2%,8838,65.74%,8,32,35,0,1,OKAY,"> 10,000",Widespread,Both,down,Modest,Both,,5,4,4,8.0,289480,Habitat,Generic,No guild,,,Land,Sexual,Annual,brief,,r,Yes,Yes,Yes,None,No,Yes,Hybrids,6,High,Some pops,Varies,Moderate,,Reasonable,Unknown,Redundant,Uncertain,Fire,Uncertain,Uncertain,Not Expected,Medium,***,,,,,,,,,,,,,,,,,,,,,,,
Litoria lesueuri,Lesueur's Frog,ALA,13192,urn:lsid:biodiversity.org.au:afd.taxon:27172a17-3602-4041-813b-550a92d3076c,Litoria lesueuri,Lesueur's Frog,Base,20,Herps,Anurans,Tree frogs,8956,0.1,3,2381,26.6%,4359,48.7%,868,19.91%,5,23,31,0,1,OKAY,"> 10,000",Widespread,Both,unsure,Modest,Both,,5,4,4,8.0,39909,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,Allozyme,Yes,Yes,Phylogeny,3,Data def,Data def,Data def,Data def,,Limited,Possible,Uncertain,High,Pathogens,Uncertain,Uncertain,Not Expected,Low,,"Litoria vinosa, Litoria kinghorni, Ranoidea lesueurii",,,,,,,,,,,,,,,,,,,,,,
Litoria littlejohni,Large Brown Tree Frog,ALA,13936,urn:lsid:biodiversity.org.au:afd.taxon:7ccd824b-542e-4867-b20f-6c4efaf6288d,Litoria littlejohni,Large Brown Tree Frog,Base,21,Herps,Anurans,Tree frogs,2558,0.1,3,80,3.1%,1136,44.4%,16,1.41%,2,3,5,0,1,EN,500 to 2K,Minor in Vic,Both,down,Very Low,Both,,5,1,1,2.0,3598,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Low,Multiple,No,Uncertain,Not Expected,Primary,,,,,"Large Brown Tree Frog, Heath Frog, Littlejohn's Tree Frog",,,,,,,,,,,,,EN,VU,Listed,,,,
Litoria nudidigita,Leaf Green Tree Frog,ALA,19002,urn:lsid:biodiversity.org.au:afd.taxon:78b55a9d-6088-400d-9655-cd3f9084fb06,Litoria nudidigita,Leaf Green Tree Frog,Base,22,Herps,Anurans,Tree frogs,2207,0.1,3,894,40.5%,1324,60.0%,478,36.10%,3,5,9,0,1,OKAY,2K to 10K,Vic + 1 state,Both,rapid,Minimal,Both,,5,0.4,0.4,0.8,13829,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Medium,,"Hyla phyllochrous nudidigitus, Hyla nudidigitus, Litoria nudidigitus, Ranoidea nudidigita",,,"Green Stream Frog, Narrow Fringed Frog",,,,,,,,,,,,,,,,,,,
Litoria paraewingi,Plains Brown Tree Frog,ALA,13203,urn:lsid:biodiversity.org.au:afd.taxon:4b4892c3-eac3-4d48-bf27-337a5dbad993,Litoria paraewingi,Plains Brown Tree Frog,Base,23,Herps,Anurans,Tree frogs,3130,0.1,3,2630,84.0%,967,30.9%,612,63.29%,2,8,6,0,1,OKAY,"> 10,000",Most in Vic,Recent,down,Modest,Both,,5,4,4,8.0,37320,Habitat,Generic,No guild,,,Land,Sexual,Annual,brief,,r,Yes,Yes,Yes,None,No,Yes,Hybrids,5,High,Some pops,Varies,High,,Reasonable,Unknown,Uncertain,Uncertain,Fire,No,Uncertain,Not Expected,Medium,***,,,,,,,,,,,,,,,,,,,,,,,
Litoria peronii,Peron's Tree Frog,ALA,13204,urn:lsid:biodiversity.org.au:afd.taxon:b2bf49cd-3e0d-4b13-9315-670adfddeba7,Litoria peronii,Peron's Tree Frog,Base,24,Herps,Anurans,Tree frogs,43345,0.1,3,3194,7.4%,25147,58.0%,1887,7.50%,7,33,41,0,1,OKAY,"> 10,000",Widespread,Recent,unsure,Modest,Both,,5,4,4,8.0,84867,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,Yes,No,None,No,Yes,Hybrids,9,Data def,Data def,High,Data def,Analysis,Limited,Unknown,Redundant,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,,,,,,,,,,,,,,,,,,,,,,,,
